sponge,sub,quan,station,transect
echsp1,rb,3,yc1,5
cbur,rb,1,yc1,5
hcae,rb,1,yc1,5
mclat,pcom,1,yc1,5
mg,rb,4,yc1,5
echsp1,rb,3,yc1,5
echsp1,rb,1,yc1,5
mg,pcom,1,yc1,5
hcae,rb,1,yc1,5
halsp22,rb,1,yc1,5
subsp2,rb,1,yc1,5
mg,dc,3,yc1,5
ssol ,dc,1,yc1,5
mg,pcom,2,yc1,5
cbur,pcom,1,yc1,5
subsp2,dc,1,yc1,5
mg,pcom,1,yc1,5
amosp1,dc,1,yc1,5
mg,dc,1,yc1,5
psesp1,dc,1,yc1,5
echsp1,dc,3,yc1,5
mg,pcom,1,yc1,5
mg,dc,1,yc1,5
echsp1,dc,1,yc1,5
cbur,dc,1,yc1,5
mg,dc,1,yc1,5
cbur,dc ,1,yc1,5
mg,sa,1,yc1,5
lhaw,pcom,1,yc1,5
echsp1,dc,3,yc1,5
cbur,dc,1,yc1,5
mg,sa ,1,yc1,5
lhaw,dc,1,yc1,5
mg,pcom,3,yc1,5
mg,dc,1,yc1,5
echsp1,sa,1,yc1,5
halsp22,dc,1,yc1,5
dare,rb,1,yc1,5
mg,dc,1,yc1,5
subsp2,mol,1,yc1,5
subsp2,dc,1,yc1,5
mg,dc,1,yc1,5
echsp1,dc,3,yc1,5
echsp1,mcap,2,yc1,5
mg,dc,1,yc1,5
cbur,dc,2,yc1,5
mg,rb,3,yc1,5
subsp2,pcom,4,yc1,5
psesp1,dc,2,yc1,5
mg,dc,1,yc1,5
subsp2,dc,3,yc1,5
cbur,dc,2,yc1,5
mg,pcom,2,yc1,5
subsp2,pcom,1,yc1,5
subsp2,dc,4,yc1,5
echsp1,rb,2,yc1,5
cbur,pcom,2,yc1,5
mg,pcom,1,yc1,5
mg,rb,1,yc1,5
echsp1,dc,1,yc1,5
mg ,dc ,1,yc1,5
echsp1,dc,2,yc1,5
hcae,dc,1,yc1,5
mg,dc,1,yc1,5
echsp1,dc,3,yc1,5
mg,dc,3,yc1,5
mg,rb,3,yc1,5
mg,pcom,1,yc1,5
echsp1,dc,1,yc1,5
mg,dc,2,yc1,5
echsp1,dc,2,yc1,5
mg,dc,1,yc1,5
ssol ,dc,1,yc1,5
cbur,dc,1,yc1,5
cbur,pcom,1,yc1,5
subsp2,mcap,1,yc1,5
mg,dc,2,yc1,5
echsp1,dc,2,yc1,5
mg,dc,3,yc1,5
ssol ,dc,1,yc1,5
echsp1,dc,1,yc1,5
echsp1,dc,1,yc1,5
echsp1,dc,1,yc1,5
mg,dc,1,yc1,5
echsp1,dc,2,yc1,5
hcae,dc,1,yc1,5
mg,dc,1,yc1,5
echsp1,dc,3,yc1,5
mg,dc,3,yc1,5
mg,rb,3,yc1,5
mg,pcom,1,yc1,5
echsp1,dc,1,yc1,5
mg,dc,2,yc1,5
echsp1,dc,2,yc1,5
mg,dc,1,yc1,5
ssol ,dc,3,yc1,5
cbur,pcom,1,yc1,5
mg,pcom,2,yc1,5
mg,rb,1,yc1,5
mg,pcom,1,yc1,5
subsp2,pcom,3,yc1,5
subsp2,dc,1,yc1,5
mg,dc,2,yc1,5
mg,pcom,2,yc1,5
mg,dc,1,yc1,5
lhaw,pcom,1,yc1,5
cbur,pcom,1,yc1,5
hcae,dc,1,yc1,5
cbur,dc,1,yc1,5
mg,rb,1,yc1,5
echsp1,dc,3,yc1,5
mg,dc,2,yc1,5
echsp1,mcap,1,yc1,5
ipro,rb,1,yc1,5
ssol ,rb,1,yc1,5
mg,rb,1,yc1,5
hcae,rb,3,yc1,5
ssol ,dc,1,yc1,5
cbur,dc,1,yc1,5
cbur,pcom,1,yc1,5
subsp2,mcap,1,yc1,5
ssol ,dc,1,yc1,5
echsp1,dc,1,yc1,5
echsp1,dc,1,yc1,5
halsp22,dc,1,yc1,5
cbur,pcom,1,yc1,5
cbur,dc,1,yc1,5
echsp1,rb,3,yc1,5
mg,rb,3,yc1,5
mg,dc,3,yc1,5
ssol ,dc ,1,yc1,5
subsp2,pcom,1,yc1,5
mg,pcom,3,yc1,5
cbur,dc,1,yc1,5
echsp1,dc,3,yc1,5
subsp2,dc,1,yc1,5
mg,pcom,1,yc1,5
cbur,pcom,1,yc1,5
echsp1,dc,3,yc1,5
mg,pcom,1,yc1,5
mg,mcap,1,yc1,5
echsp1,dc,2,yc1,5
psesp1,dc,1,yc1,5
mg,rb,1,yc1,4
mg,rb,1,yc1,4
mg,dc,3,yc1,4
mg,dc,1,yc1,4
mg,dc,3,yc1,4
mg,pcom,1,yc1,4
mg,dc,1,yc1,4
mg,dc,2,yc1,4
mg,pcom,1,yc1,4
mg,dc,1,yc1,4
mg,pcom,1,yc1,4
mg,dc,1,yc1,4
mg,dc,1,yc1,4
mg,dc,1,yc1,4
mg,dc,1,yc1,4
mg,pcom,1,yc1,4
mg,dc,1,yc1,4
mg,pcom,1,yc1,4
mg,pcom,1,yc1,4
mg,dc,1,yc1,4
mg,rb,1,yc1,4
mg,dc,1,yc1,4
mg,sa,1,yc1,4
mg,pcom,1,yc1,4
mg,dc,1,yc1,4
mg,pcom,1,yc1,4
mg,dc,1,yc1,4
mg,pcom,1,yc1,4
mg,pcom,1,yc1,4
mg,dc,3,yc1,4
mg,pcom,1,yc1,4
mg,pcom,1,yc1,4
mg,dc,1,yc1,4
mg,pcom,2,yc1,4
mg,dc,1,yc1,4
mg,dc,1,yc1,4
mg,pcom,1,yc1,4
mg,dc,1,yc1,4
mg,pcom,1,yc1,4
mg,pcom,2,yc1,4
mg,dc,3,yc1,4
mg,rb,3,yc1,3
mg,pcom,1,yc1,3
mg,pcom,2,yc1,3
mg,mcap,1,yc1,3
mg,dc,2,yc1,3
mg,rb,6,yc1,3
mg,rb,3,yc1,3
mg,dc,1,yc1,3
mg,rb,1,yc1,3
