transectstation,percent,substrate,station,transect,,
1_HE,0.00,sa,HE,1,,
1_PLF,0.00,sa,PLF,1,,
1_R10,0.00,sa,R10,1,,
1_R18,0.00,sa,R18,1,,
1_R25,0.00,sa,R25,1,,
1_R29,0.00,sa,R29,1,,
1_R41,0.00,sa,R41,1,,
1_R5,8.57,sa,R5,1,,
1_yc1,0.00,sa,yc1,1,,"Number of Mycale grandis colonies were monitored for substrate attachement.  Basically, the numbers calculated included the total number"
1_yc2,0.00,sa,yc2,1,,of times that mycale grandis was encountered. Each substrate type was counted and divided by the total number of mycale grandis colonies 
2_HE,0.00,sa,HE,2,,in that transect. 
2_PLF,0.00,sa,PLF,2,,
2_R10,0.00,sa,R10,2,,
2_R18,0.00,sa,R18,2,,
2_R25,0.00,sa,R25,2,,
2_R29,0.00,sa,R29,2,,
2_R41,0.00,sa,R41,2,,
2_R5,0.00,sa,R5,2,,
2_yc1,0.00,sa,yc1,2,,
2_yc2,8.70,sa,yc2,2,,
3_HE,0.00,sa,HE,3,,
3_PLF,0.00,sa,PLF,3,,
3_R10,2.70,sa,R10,3,,
3_R18,0.00,sa,R18,3,,
3_R25,0.00,sa,R25,3,,
3_R29,0.00,sa,R29,3,,
3_R41,0.00,sa,R41,3,,
3_R5,0.00,sa,R5,3,,
3_yc1,0.00,sa,yc1,3,,
3_yc2,0.00,sa,yc2,3,,
4_HE,8.00,sa,HE,4,,
4_PLF,0.00,sa,PLF,4,,
4_R10,7.69,sa,R10,4,,
4_R18,0.00,sa,R18,4,,
4_R25,0.00,sa,R25,4,,
4_R29,0.00,sa,R29,4,,
4_R41,0.00,sa,R41,4,,
4_R5,0.00,sa,R5,4,,
4_yc1,1.92,sa,yc1,4,,
4_yc2,13.64,sa,yc2,4,,
5_HE,3.57,sa,HE,5,,
5_PLF,5.26,sa,PLF,5,,
5_R10,0.00,sa,R10,5,,
5_R18,0.00,sa,R18,5,,
5_R25,0.00,sa,R25,5,,
5_R29,0.00,sa,R29,5,,
5_R41,0.00,sa,R41,5,,
5_R5,0.00,sa,R5,5,,
5_yc1,2.33,sa,yc1,5,,
5_yc2,0.00,sa,yc2,5,,
1_HE,10.71,rb,HE,1,,
1_PLF,54.72,rb,PLF,1,,
1_R10,4.00,rb,R10,1,,
1_R18,16.67,rb,R18,1,,
1_R25,4.55,rb,R25,1,,
1_R29,3.57,rb,R29,1,,
1_R41,5.13,rb,R41,1,,
1_R5,5.71,rb,R5,1,,
1_yc1,13.33,rb,yc1,1,,
1_yc2,14.29,rb,yc2,1,,
2_HE,18.18,rb,HE,2,,
2_PLF,24.24,rb,PLF,2,,
2_R10,0.00,rb,R10,2,,
2_R18,7.69,rb,R18,2,,
2_R25,7.41,rb,R25,2,,
2_R29,0.00,rb,R29,2,,
2_R41,0.00,rb,R41,2,,
2_R5,12.00,rb,R5,2,,
2_yc1,33.33,rb,yc1,2,,
2_yc2,17.39,rb,yc2,2,,
3_HE,6.25,rb,HE,3,,
3_PLF,72.41,rb,PLF,3,,
3_R10,10.81,rb,R10,3,,
3_R18,28.57,rb,R18,3,,
3_R25,6.56,rb,R25,3,,
3_R29,11.43,rb,R29,3,,
3_R41,0.00,rb,R41,3,,
3_R5,5.26,rb,R5,3,,
3_yc1,46.15,rb,yc1,3,,
3_yc2,32.43,rb,yc2,3,,
4_HE,8.00,rb,HE,4,,
4_PLF,67.86,rb,PLF,4,,
4_R10,26.92,rb,R10,4,,
4_R18,4.00,rb,R18,4,,
4_R25,0.00,rb,R25,4,,
4_R29,0.00,rb,R29,4,,
4_R41,0.00,rb,R41,4,,
4_R5,13.33,rb,R5,4,,
4_yc1,5.77,rb,yc1,4,,
4_yc2,13.64,rb,yc2,4,,
5_HE,0.00,rb,HE,5,,
5_PLF,31.58,rb,PLF,5,,
5_R10,31.82,rb,R10,5,,
5_R18,4.55,rb,R18,5,,
5_R25,0.00,rb,R25,5,,
5_R29,8.70,rb,R29,5,,
5_R41,0.00,rb,R41,5,,
5_R5,8.11,rb,R5,5,,
5_yc1,23.26,rb,yc1,5,,
5_yc2,41.18,rb,yc2,5,,
1_HE,39.29,dc,HE,1,,
1_PLF,32.08,dc,PLF,1,,
1_R10,48.00,dc,R10,1,,
1_R18,41.67,dc,R18,1,,
1_R25,27.27,dc,R25,1,,
1_R29,0.00,dc,R29,1,,
1_R41,28.21,dc,R41,1,,
1_R5,65.71,dc,R5,1,,
1_yc1,80.00,dc,yc1,1,,
1_yc2,53.57,dc,yc2,1,,
2_HE,50.00,dc,HE,2,,
2_PLF,69.70,dc,PLF,2,,
2_R10,55.56,dc,R10,2,,
2_R18,50.00,dc,R18,2,,
2_R25,8.64,dc,R25,2,,
2_R29,13.64,dc,R29,2,,
2_R41,18.60,dc,R41,2,,
2_R5,72.00,dc,R5,2,,
2_yc1,60.87,dc,yc1,2,,
2_yc2,60.87,dc,yc2,2,,
3_HE,43.75,dc,HE,3,,
3_PLF,17.24,dc,PLF,3,,
3_R10,62.16,dc,R10,3,,
3_R18,34.29,dc,R18,3,,
3_R25,16.39,dc,R25,3,,
3_R29,25.71,dc,R29,3,,
3_R41,22.06,dc,R41,3,,
3_R5,76.32,dc,R5,3,,
3_yc1,34.62,dc,yc1,3,,
3_yc2,45.95,dc,yc2,3,,
4_HE,52.00,dc,HE,4,,
4_PLF,25.00,dc,PLF,4,,
4_R10,50.00,dc,R10,4,,
4_R18,48.00,dc,R18,4,,
4_R25,24.19,dc,R25,4,,
4_R29,15.79,dc,R29,4,,
4_R41,8.70,dc,R41,4,,
4_R5,73.33,dc,R5,4,,
4_yc1,57.69,dc,yc1,4,,
4_yc2,54.55,dc,yc2,4,,
5_HE,64.29,dc,HE,5,,
